Video-ID,Link,Model,Approach,Prompt,Output,Question?,Relevance,Answerability,Bloom's Level
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Mistral-7B-Instruct,Zero-Shot,Create a question about the video content.,"What is the potential symbolic meaning of Vermeer's painting ""Woman Holding a Balance"" in the National Gallery of Art, Washington DC, as discussed in the video? The painting depicts a woman from the upper merchant class in 17th century Holland, weighing valuables, with a religious painting of the Last Judgment visible behind her. The balance could symbolize the need to balance wealth and spirituality, while the mirror could represent vanity, self-knowledge, or both. The painting may also serve as a cautionary vanitas, suggesting a focus on worldly possessions over spiritual concerns. However, the exact meaning remains a subject of debate among art historians.",Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Mistral-7B-Instruct,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"What is the main idea of the video, as suggested by the art historian, about the painting ""Woman Holding a Balance"" by Vermeer? Is it primarily about a woman weighing her valuables, or does it have a broader symbolic meaning related to the relationship between wealth, spirituality, and the balance between the two?",Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Mistral-7B-Instruct,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"What is the main subject and potential symbolism of Vermeer's painting ""Woman Holding a Balance"" as discussed in the video, and what elements of the painting suggest a deeper meaning beyond a simple depiction of a woman weighing her valuables?",Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaVA,Zero-Shot,Create a question about the video content.,What is the name of the painting that the woman is working on in the video?,Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaVA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,What is the main idea of the video?,Yes,No,No,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaVA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,What is the name of the painting that the woman is working on in the video?,Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-Video-LLaVA,Zero-Shot,Create a question about the video content.,"What is the subject of the painting at the National Gallery of Art in Washington, DC?",Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-VIdeo-LLaVA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"Question: What is the main subject of the painting at the National Gallery of Art in Washington, DC, and what is the significance of the balance and the mirror in the scene?",Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-Video-LLaVA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"Question: What is the primary subject of the painting ""Woman Holding a Balance"" by Vermeer, and what is its significance in the context of 17th century Holland?",Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Zero-Shot,Create a question about the video content.,"In this video, a young woman is depicted sitting at a table and painting a picture. She is wearing a blue shirt, and her hair is tied in a ponytail. The table she is sitting at has a glass on top of it, and there is a vase with flowers on it. She is surrounded by various objects such as a painting on the wall, a blue vase, and a picture on the wall. There is also a clock on the wall, and the backdrop is black. Overall, the video captures the young woman concentrating on her painting, seeming to be deep in thought.",No,No,No,-
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"Based on the video, I would answer the question by describing the details of the painting that I observed, which depicts a woman at a table with a black background and a vase. The woman is wearing a blue shirt and appears to be in a room. The objects that I noticed in the video include a woman with a blue shirt, a vase on the table, and a clock on the wall.",No,No,No,-
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"In the video, I see a painting of a woman holding a glass of wine and staring at a clock. The painting seems to be in a black and white color palette, and it's quite clear and detailed. The woman in the painting has a long dress and dark hair. There is also a woman standing next to the painting, and she is wearing a blue shirt. The walls of the room appear to be blue and white. Overall, it seems like a classic piece of art with intricate details and colors.",No,No,No,-
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-Video-LLaVA,Fine-Tuned,Create a question about the video content.,"0:01: The painting is of a woman standing in front of a table, holding a balance.",No,No,No,-
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-VIdeo-LLaVA,Fine-Tuned,Develop a question that tests comprehension of the video's main idea.,01:27,No,No,No,-
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-Video-LLaVA,Fine-Tuned,Generate a question to assess the knowledge acquired from the video.,0:28 What is the painting about?,Yes,Yes,Yes,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Fine-Tuned,Create a question about the video content.,What is the meaning behind her blue robe and what is it symbolizing?,Yes,Yes,No,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Fine-Tuned,Develop a question that tests comprehension of the video's main idea.,"What was the subject matter of the painting \""The Weighing of Gold\""?",Yes,No,No,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Fine-Tuned,Generate a question to assess the knowledge acquired from the video.,Why is the lighting behind the woman in the painting so bright and intense?,Yes,Yes,Yes,Understanding
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-Video-LLaVA,Audio only,Create a question about the video content.,"The video is about a painting of a woman holding a balance, which is on display at the National Gallery of Art in Washington, DC. The painting is a Vermeer, which is a type of art that imbues everyday scenes with greater meaning. The painting shows a woman dressed in fine clothing, wearing a cap and a fur trimmed jacket. She is standing in front of a table with a balance and some boxes on it. There is a window and a mirror on the wall behind her, and she is holding a balance in her right hand. The painting is about the relationship between wealth and spirituality, and the balance signifies the need to balance these two aspects of life. The painting also features a Last Judgment scene in the background, which adds to the overall meaning of the artwork.",No,No,No,-
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-VIdeo-LLaVA,Audio only,Develop a question that tests comprehension of the video's main idea.,"The video is about a painting at the National Gallery of Art in Washington, D.C. The painting is a Vermeer, which is a 17th century Dutch artist known for his everyday life scenes with greater meaning. The painting shows a woman dressed in fine clothing, wearing a cap and a fur trimmed jacket, standing in front of a table with a balance and some boxes. The balance is empty, and there are strings of pearls and coins on the table. The woman is also standing in front of a mirror, which is a symbol of vanity. The painting is a reminder of the changes taking place in the 17th century, such as the relationship between wealth and piety, and the need to balance worldly possessions with spirituality.",No,No,No,-
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-Video-LLaVA,Audio only,Generate a question to assess the knowledge acquired from the video.,"The video is about a painting of a woman holding a balance, which is on display at the National Gallery of Art in Washington, DC. The painting is a Vermeer, which is a 17th century Dutch artist known for his everyday life scenes. The woman in the painting is dressed in fine clothing, wearing a cap and a fur trimmed jacket, and she is standing in front of a table with boxes and pearls. There is a mirror on the wall opposite her, and a window letting in a little bit of light. The woman is holding a balance, and there are no weights on either side, suggesting that she is waiting for the balance to come to rest. The painting also features a Last Judgment scene in the background, with Christ as the judge over the souls of the blessed and the damned. The painting is considered to be about the relationship between wealth and spirituality, and the balance symbolizes the need to balance these two aspects of life.",No,No,No,-
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Audio only,Create a question about the video content.,What is the meaning of 'inspiration' in the context of the video?,Yes,No,No,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Audio only,Develop a question that tests comprehension of the video's main idea.,How did they make such a machine so small that they could use in a pocket watch?,Yes,No,No,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Audio only,Generate a question to assess the knowledge acquired from the video.,What is the difference between a tissue and a cell?,Yes,No,No,Analyzing
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-Video-LLaVA,Frames only,Create a question about the video content.,What is the significance of the coin in the painting?,Yes,No,No,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-VIdeo-LLaVA,Frames only,Develop a question that tests comprehension of the video's main idea.,"Why is the painting called ""Artemisia""?",Yes,No,No,Understanding
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,PG-Video-LLaVA,Frames only,Generate a question to assess the knowledge acquired from the video.,How can I get a painting like this?,Yes,Yes,No,Understanding
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Frames only,Create a question about the video content.,What is the meaning behind her blue robe and what is it called?,Yes,Yes,No,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Frames only,Develop a question that tests comprehension of the video's main idea.,Who is the woman with the balance?,Yes,Yes,No,Remembering
WO1I1dN0DaA,https://www.youtube.com/watch?v=WO1I1dN0DaA,Video-LLaMA,Frames only,Generate a question to assess the knowledge acquired from the video.,"What is \""The Last Judgment\"" ?",Yes,Yes,Yes,Remembering
,,,,,,,,,
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Mistral-7B-Instruct,Zero-Shot,Create a question about the video content.,"Here's the question based on the video content:

In the given scenario, can the dollar amount of the order be represented as a function of shipping costs? Explain why or why not.

In this case, the function would need to have a unique output for each input. However, as shown in the video, for a given shipping cost of $4, the order amount can take on any value less than $20, and for a shipping cost of $7, the order amount can be any value $20 or more. This means that there can be multiple possible order amounts for each shipping cost, making it impossible to represent the order amount as a function of shipping costs.",Yes,Yes,Yes,Applying
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Mistral-7B-Instruct,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"Here's a question that tests the comprehension of the video's main idea:

""Explain why the relationship between the shipping cost and the dollar amount of the order cannot be represented as a function, according to the information provided in the video.""",No,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Mistral-7B-Instruct,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"Here's a question to assess the knowledge acquired from the video:

If the shipping costs for an online order are based on the dollar amount of the order, with $4 for orders less than $20 and $7 for orders $20 or more, can the dollar amount of the order be represented as a function of shipping costs? Explain your answer, considering the possible inputs and outputs for each shipping cost.",Yes,Yes,Yes,Applying
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaVA,Zero-Shot,Create a question about the video content.,What is the main focus of the video?,Yes,Yes,Yes,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaVA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,What is the main idea of the video?,Yes,Yes,Yes,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaVA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,What is the difference between a T-chart and a V-chart?,Yes,No,No,Understanding
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-Video-LLaVA,Zero-Shot,Create a question about the video content.,What is the cost of shipping a package using the USPS?,Yes,No,No,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-VIdeo-LLaVA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,What is the main idea of the video?,Yes,Yes,Yes,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-Video-LLaVA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,What is the cost of shipping a package using the USPS?,Yes,Yes,No,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Zero-Shot,Create a question about the video content.,"Sure, I can provide an answer to your question based on what I have seen and heard in the video. The video appears to be a 3D animation of a computer screen with a black background. There is a white and pink text box in the center, a white arrow on the screen, and a white box with a pink arrow pointing up. Additionally, there is a white and pink sign on the bottom of the image, a red and white arrow pointing up, and a black and white sign on the wall. There are also various objects and text appearing on the screen throughout the animation. Overall, the video appears to be showcasing various design elements and text, and may be used for informational or illustrative purposes.",No,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"The video shows a digital text on a black background, displaying information about the coronavirus. The text includes a variety of relevant information, such as that the virus is dangerous, can be spread through close contact, and that the United States has seen a large increase in the number of cases. The video also includes various captions and text boxes providing additional information about the virus and its spread.\n\nThe video does not include any explicit visuals or images of the virus, but rather focuses on the information being presented on the black background.",No,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"I have acquired knowledge from the video regarding visual perception, human perception, visual recognition, and visual processing. The video shows that our brains interpret visual information from our eyes based on what we see and what we know, and that visual stimuli like shapes and lines can be recognized based on their spatial relationships and the rules that govern those relationships.\n\nWhat was the most interesting aspect of the video for you?",Yes,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-Video-LLaVA,Fine-Tuned,Create a question about the video content.,How do you find the slope of a line?,Yes,No,No,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-VIdeo-LLaVA,Fine-Tuned,Develop a question that tests comprehension of the video's main idea.,How do you find the domain of a function?,Yes,Yes,No,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-Video-LLaVA,Fine-Tuned,Generate a question to assess the knowledge acquired from the video.,How do you know when a function is a function?,Yes,Yes,No,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Fine-Tuned,Create a question about the video content.,Is the difference of the expected value of 3 and the 2 the average or the standard deviation?,Yes,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Fine-Tuned,Develop a question that tests comprehension of the video's main idea.,why is the number of people in a room is a random variable?,Yes,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Fine-Tuned,Generate a question to assess the knowledge acquired from the video.,How do you know if it's worth it to do something?,Yes,No,No,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-Video-LLaVA,Audio only,Create a question about the video content.,What is the difference between a vision-language assistant and a vision-language model?,Yes,No,No,Understanding
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-VIdeo-LLaVA,Audio only,Develop a question that tests comprehension of the video's main idea.,What are the most common types of video content?,Yes,No,No,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-Video-LLaVA,Audio only,Generate a question to assess the knowledge acquired from the video.,What is the difference between a vision-language assistant and a vision-language model?,Yes,No,No,Understanding
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Audio only,Create a question about the video content.,At 5:33 it says 'sand dunes' but i thought it was 'sand bores'?,Yes,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Audio only,Develop a question that tests comprehension of the video's main idea.,Why do light-colored objects tend to absorb more heat from the sun?,Yes,No,No,Understanding
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Audio only,Generate a question to assess the knowledge acquired from the video.,When did the sun last burn through the corona?,Yes,No,No,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-Video-LLaVA,Frames only,Create a question about the video content.,How do you find the total cost of shipping?,Yes,Yes,Yes,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-VIdeo-LLaVA,Frames only,Develop a question that tests comprehension of the video's main idea.,How do you find the cost of shipping?,Yes,Yes,Yes,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,PG-Video-LLaVA,Frames only,Generate a question to assess the knowledge acquired from the video.,How do you find the cost of shipping?,Yes,Yes,Yes,Remembering
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Frames only,Create a question about the video content.,Is the difference of the expected value of 3 and the 2 the average or the standard deviation?,Yes,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Frames only,Develop a question that tests comprehension of the video's main idea.,why is the number of people in a room is a random variable?,Yes,No,No,-
z45UEiPaE8c,https://www.youtube.com/watch?v=z45UEiPaE8c,Video-LLaMA,Frames only,Generate a question to assess the knowledge acquired from the video.,How do you know if it's worth it to do something?,Yes,No,No,Remembering
